trace_path,task_id,architecture,noise_level,seed,env_failure_mode,category_num,category_name,notes
data\traces_full\T014__planning__noise0.3__seed42.jsonl,T014,planning,0.3,42,wrong_product,3,filter_composition_failure,
data\traces_full\T006__planning__noise0.0__seed42.jsonl,T006,planning,0.0,42,wrong_product,3,filter_composition_failure,
data\traces_full\T027__planning__noise0.0__seed1.jsonl,T027,planning,0.0,1,wrong_product,1,wrong_product_satisfying,
data\traces_full\T024__planning__noise0.2__seed42.jsonl,T024,planning,0.2,42,wrong_product,3,filter_composition_failure,
data\traces_full\T021__planning__noise0.2__seed1.jsonl,T021,planning,0.2,1,wrong_product,1,wrong_product_satisfying,
data\traces_full\T015__planning__noise0.2__seed42.jsonl,T015,planning,0.2,42,wrong_product,1,wrong_product_satisfying,
data\traces_full\T046__reactive__noise0.1__seed1.jsonl,T046,reactive,0.1,1,wrong_product,3,filter_composition_failure,
data\traces_full\T007__reactive__noise0.0__seed42.jsonl,T007,reactive,0.0,42,wrong_product,9,constraint_misinterpretation,
data\traces_full\T042__reactive__noise0.1__seed1.jsonl,T042,reactive,0.1,1,wrong_product,3,filter_composition_failure,
data\traces_full\T049__reactive__noise0.1__seed2024.jsonl,T049,reactive,0.1,2024,wrong_product,3,filter_composition_failure,
data\traces_full\T027__reactive__noise0.2__seed42.jsonl,T027,reactive,0.2,42,wrong_product,3,filter_composition_failure,
data\traces_full\T006__reactive__noise0.3__seed1.jsonl,T006,reactive,0.3,1,wrong_product,9,constraint_misinterpretation,
data\traces_full\T037__planning__noise0.3__seed42.jsonl,T037,planning,0.3,42,replan_limit_exceeded,3,filter_composition_failure,
data\traces_full\T004__planning__noise0.1__seed42.jsonl,T004,planning,0.1,42,replan_limit_exceeded,3,filter_composition_failure,
data\traces_full\T003__planning__noise0.3__seed1.jsonl,T003,planning,0.3,1,replan_limit_exceeded,3,filter_composition_failure,
data\traces_full\T011__planning__noise0.1__seed42.jsonl,T011,planning,0.1,42,replan_limit_exceeded,3,filter_composition_failure,
data\traces_full\T022__planning__noise0.1__seed42.jsonl,T022,planning,0.1,42,replan_limit_exceeded,3,filter_composition_failure,
data\traces_full\T030__reactive__noise0.0__seed2024.jsonl,T030,reactive,0.0,2024,wrong_product,3,filter_composition_failure,
data\traces_full\T007__reactive__noise0.0__seed2024.jsonl,T007,reactive,0.0,2024,wrong_product,1,wrong_product_satisfying,
data\traces_full\T002__reactive__noise0.2__seed42.jsonl,T002,reactive,0.2,42,no_purchase:unknown,10,other_uncoded,
data\traces_full\T047__reactive__noise0.2__seed1.jsonl,T047,reactive,0.2,1,budget_exhausted,7,budget_exhaustion_mid_narrowing,
data\traces_full\T014__reactive__noise0.3__seed42.jsonl,T014,reactive,0.3,42,wrong_product,1,wrong_product_satisfying,
data\traces_full\T010__reactive__noise0.3__seed2024.jsonl,T010,reactive,0.3,2024,budget_exhausted,7,budget_exhaustion_mid_narrowing,
data\traces_full\T015__planning__noise0.0__seed42.jsonl,T015,planning,0.0,42,wrong_product,3,filter_composition_failure,
